country,year,age,gender,migrant_count
Scotland,2002,0,all,1526
Scotland,2002,1,all,3560
Scotland,2002,2,all,3331
Scotland,2002,3,all,3099
Scotland,2002,4,all,2899
Scotland,2002,5,all,2628
Scotland,2002,6,all,2346
Scotland,2002,7,all,2339
Scotland,2002,8,all,2303
Scotland,2002,9,all,2264
Scotland,2002,10,all,2244
Scotland,2002,11,all,2113
Scotland,2002,12,all,1901
Scotland,2002,13,all,1831
Scotland,2002,14,all,1912
Scotland,2002,15,all,1629
Scotland,2002,16,all,1939
Scotland,2002,17,all,2953
Scotland,2002,18,all,7506
Scotland,2002,19,all,9274
Scotland,2002,20,all,6630
Scotland,2002,21,all,5983
Scotland,2002,22,all,7013
Scotland,2002,23,all,7857
Scotland,2002,24,all,7074
Scotland,2002,25,all,6574
Scotland,2002,26,all,6478
Scotland,2002,27,all,6264
Scotland,2002,28,all,6106
Scotland,2002,29,all,5976
Scotland,2002,30,all,5959
Scotland,2002,31,all,5716
Scotland,2002,32,all,5272
Scotland,2002,33,all,5104
Scotland,2002,34,all,4762
Scotland,2002,35,all,4528
Scotland,2002,36,all,4079
Scotland,2002,37,all,3884
Scotland,2002,38,all,3510
Scotland,2002,39,all,3462
Scotland,2002,40,all,3132
Scotland,2002,41,all,2893
Scotland,2002,42,all,2589
Scotland,2002,43,all,2463
Scotland,2002,44,all,2197
Scotland,2002,45,all,2087
Scotland,2002,46,all,1909
Scotland,2002,47,all,1792
Scotland,2002,48,all,1697
Scotland,2002,49,all,1768
Scotland,2002,50,all,1598
Scotland,2002,51,all,1554
Scotland,2002,52,all,1530
Scotland,2002,53,all,1570
Scotland,2002,54,all,1540
Scotland,2002,55,all,1621
Scotland,2002,56,all,1225
Scotland,2002,57,all,1149
Scotland,2002,58,all,1193
Scotland,2002,59,all,998
Scotland,2002,60,all,1028
Scotland,2002,61,all,856
Scotland,2002,62,all,919
Scotland,2002,63,all,845
Scotland,2002,64,all,811
Scotland,2002,65,all,864
Scotland,2002,66,all,780
Scotland,2002,67,all,636
Scotland,2002,68,all,588
Scotland,2002,69,all,564
Scotland,2002,70,all,501
Scotland,2002,71,all,471
Scotland,2002,72,all,456
Scotland,2002,73,all,418
Scotland,2002,74,all,433
Scotland,2002,75,all,411
Scotland,2002,76,all,463
Scotland,2002,77,all,380
Scotland,2002,78,all,435
Scotland,2002,79,all,384
Scotland,2002,80,all,403
Scotland,2002,81,all,401
Scotland,2002,82,all,430
Scotland,2002,83,all,245
Scotland,2002,84,all,267
Scotland,2002,85,all,268
Scotland,2002,86,all,277
Scotland,2002,87,all,264
Scotland,2002,88,all,229
Scotland,2002,89,all,179
Scotland,2002,90,all,837
Scotland,2003,0,all,1457
