country,year,age,gender,inmigrant_count,outmigrant_count
Scotland,2002,0,all,285,214
Scotland,2002,1,all,439,394
Scotland,2002,2,all,411,371
Scotland,2002,3,all,397,361
Scotland,2002,4,all,373,331
Scotland,2002,5,all,295,296
Scotland,2002,6,all,259,265
Scotland,2002,7,all,251,258
Scotland,2002,8,all,255,251
Scotland,2002,9,all,239,234
Scotland,2002,10,all,187,220
Scotland,2002,11,all,204,203
Scotland,2002,12,all,181,187
Scotland,2002,13,all,206,190
Scotland,2002,14,all,262,186
Scotland,2002,15,all,255,156
Scotland,2002,16,all,407,193
Scotland,2002,17,all,424,260
Scotland,2002,18,all,547,370
Scotland,2002,19,all,917,495
Scotland,2002,20,all,1150,556
Scotland,2002,21,all,1577,772
Scotland,2002,22,all,1481,1033
Scotland,2002,23,all,1590,1467
Scotland,2002,24,all,1455,1386
Scotland,2002,25,all,1413,1334
Scotland,2002,26,all,1168,1243
Scotland,2002,27,all,1089,1152
Scotland,2002,28,all,975,1006
Scotland,2002,29,all,860,960
Scotland,2002,30,all,790,828
Scotland,2002,31,all,671,755
Scotland,2002,32,all,625,653
Scotland,2002,33,all,573,615
Scotland,2002,34,all,469,575
Scotland,2002,35,all,468,512
Scotland,2002,36,all,392,441
Scotland,2002,37,all,343,428
Scotland,2002,38,all,315,385
Scotland,2002,39,all,300,366
Scotland,2002,40,all,276,316
Scotland,2002,41,all,238,306
Scotland,2002,42,all,207,273
Scotland,2002,43,all,224,250
Scotland,2002,44,all,196,216
Scotland,2002,45,all,159,215
Scotland,2002,46,all,151,192
Scotland,2002,47,all,125,166
Scotland,2002,48,all,112,163
Scotland,2002,49,all,107,146
Scotland,2002,50,all,103,132
Scotland,2002,51,all,105,115
Scotland,2002,52,all,88,116
Scotland,2002,53,all,84,118
Scotland,2002,54,all,72,114
Scotland,2002,55,all,106,118
Scotland,2002,56,all,72,91
Scotland,2002,57,all,67,101
Scotland,2002,58,all,72,85
Scotland,2002,59,all,47,73
Scotland,2002,60,all,67,72
Scotland,2002,61,all,54,62
Scotland,2002,62,all,51,70
Scotland,2002,63,all,45,64
Scotland,2002,64,all,54,57
Scotland,2002,65,all,42,62
Scotland,2002,66,all,43,61
Scotland,2002,67,all,35,48
Scotland,2002,68,all,28,42
Scotland,2002,69,all,22,39
Scotland,2002,70,all,31,33
Scotland,2002,71,all,25,33
Scotland,2002,72,all,26,34
Scotland,2002,73,all,20,26
Scotland,2002,74,all,12,31
Scotland,2002,75,all,7,26
Scotland,2002,76,all,17,25
Scotland,2002,77,all,15,17
Scotland,2002,78,all,12,20
Scotland,2002,79,all,10,19
Scotland,2002,80,all,12,19
Scotland,2002,81,all,10,18
Scotland,2002,82,all,9,21
Scotland,2002,83,all,8,13
Scotland,2002,84,all,5,13
Scotland,2002,85,all,4,12
Scotland,2002,86,all,5,13
Scotland,2002,87,all,2,6
Scotland,2002,88,all,1,3
Scotland,2002,89,all,6,5
Scotland,2002,90,all,13,28
Scotland,2003,0,all,242,204
Scotland,2003,1,all,342,387
Scotland,2003,2,all,364,383
Scotland,2003,3,all,324,346
Scotland,2003,4,all,354,355
Scotland,2003,5,all,232,283
Scotland,2003,6,all,206,256
Scotland,2003,7,all,209,234
Scotland,2003,8,all,207,235
Scotland,2003,9,all,206,239
Scotland,2003,10,all,163,207
Scotland,2003,11,all,165,201
Scotland,2003,12,all,164,199
Scotland,2003,13,all,170,191
Scotland,2003,14,all,212,184
Scotland,2003,15,all,241,188
Scotland,2003,16,all,346,197
Scotland,2003,17,all,352,252
Scotland,2003,18,all,485,385
Scotland,2003,19,all,751,499
Scotland,2003,20,all,1020,580
Scotland,2003,21,all,1509,717
Scotland,2003,22,all,1489,1021
Scotland,2003,23,all,1608,1526
Scotland,2003,24,all,1465,1487
Scotland,2003,25,all,1352,1448
Scotland,2003,26,all,1152,1290
Scotland,2003,27,all,1052,1181
Scotland,2003,28,all,904,1069
Scotland,2003,29,all,800,986
Scotland,2003,30,all,738,855
Scotland,2003,31,all,637,791
Scotland,2003,32,all,577,718
Scotland,2003,33,all,535,626
Scotland,2003,34,all,461,595
Scotland,2003,35,all,425,542
Scotland,2003,36,all,368,487
Scotland,2003,37,all,303,427
Scotland,2003,38,all,287,416
Scotland,2003,39,all,263,350
Scotland,2003,40,all,249,326
Scotland,2003,41,all,197,304
Scotland,2003,42,all,180,290
Scotland,2003,43,all,177,244
Scotland,2003,44,all,145,228
Scotland,2003,45,all,124,219
Scotland,2003,46,all,136,184
Scotland,2003,47,all,120,164
Scotland,2003,48,all,107,177
Scotland,2003,49,all,94,154
Scotland,2003,50,all,92,140
Scotland,2003,51,all,73,131
Scotland,2003,52,all,74,127
Scotland,2003,53,all,82,112
Scotland,2003,54,all,71,108
Scotland,2003,55,all,77,119
Scotland,2003,56,all,63,120
Scotland,2003,57,all,44,97
Scotland,2003,58,all,49,86
Scotland,2003,59,all,59,72
Scotland,2003,60,all,58,75
Scotland,2003,61,all,44,72
Scotland,2003,62,all,49,66
Scotland,2003,63,all,58,59
Scotland,2003,64,all,45,54
Scotland,2003,65,all,44,68
Scotland,2003,66,all,31,49
Scotland,2003,67,all,30,47
Scotland,2003,68,all,23,41
Scotland,2003,69,all,28,37
Scotland,2003,70,all,20,30
Scotland,2003,71,all,16,28
Scotland,2003,72,all,21,36
Scotland,2003,73,all,19,23
Scotland,2003,74,all,14,26
Scotland,2003,75,all,12,26
Scotland,2003,76,all,12,21
Scotland,2003,77,all,8,17
Scotland,2003,78,all,15,14
Scotland,2003,79,all,7,21
Scotland,2003,80,all,8,22
Scotland,2003,81,all,7,16
Scotland,2003,82,all,9,18
Scotland,2003,83,all,4,17
Scotland,2003,84,all,3,14
Scotland,2003,85,all,5,9
Scotland,2003,86,all,4,11
Scotland,2003,87,all,1,8
Scotland,2003,88,all,3,6
Scotland,2003,89,all,2,6
Scotland,2003,90,all,7,24
Scotland,2004,0,all,296,202
Scotland,2004,1,all,422,369
Scotland,2004,2,all,350,320
Scotland,2004,3,all,320,294
Scotland,2004,4,all,323,301
Scotland,2004,5,all,275,272
Scotland,2004,6,all,236,217
Scotland,2004,7,all,249,242
Scotland,2004,8,all,224,209
Scotland,2004,9,all,217,218
Scotland,2004,10,all,182,207
Scotland,2004,11,all,173,186
Scotland,2004,12,all,158,180
Scotland,2004,13,all,156,161
Scotland,2004,14,all,190,167
Scotland,2004,15,all,220,164
Scotland,2004,16,all,281,176
Scotland,2004,17,all,340,245
Scotland,2004,18,all,475,340
Scotland,2004,19,all,905,478
Scotland,2004,20,all,1157,514
Scotland,2004,21,all,1681,723
Scotland,2004,22,all,1749,950
Scotland,2004,23,all,1868,1415
Scotland,2004,24,all,1723,1431
Scotland,2004,25,all,1565,1446
Scotland,2004,26,all,1380,1277
Scotland,2004,27,all,1208,1142
Scotland,2004,28,all,1078,1074
Scotland,2004,29,all,869,911
Scotland,2004,30,all,743,830
Scotland,2004,31,all,711,737
Scotland,2004,32,all,617,621
Scotland,2004,33,all,579,595
Scotland,2004,34,all,484,541
Scotland,2004,35,all,456,514
Scotland,2004,36,all,372,439
