"year","age","population_count","sex","region"
"1981",0,"68529","total","scotland"
"1981",0,"35263","male","scotland"
"1981",0,"33266","female","scotland"
"1981",1,"66723","total","scotland"
"1981",1,"34142","male","scotland"
"1981",1,"32581","female","scotland"
"1981",2,"64065","total","scotland"
"1981",2,"33070","male","scotland"
"1981",2,"30995","female","scotland"
"1981",3,"59568","total","scotland"
"1981",3,"30363","male","scotland"
"1981",3,"29205","female","scotland"
"1981",4,"59023","total","scotland"
"1981",4,"30380","male","scotland"
"1981",4,"28643","female","scotland"
"1981",5,"64515","total","scotland"
"1981",5,"33216","male","scotland"
"1981",5,"31299","female","scotland"
"1981",6,"65573","total","scotland"
"1981",6,"33496","male","scotland"
"1981",6,"32077","female","scotland"
"1981",7,"67271","total","scotland"
"1981",7,"34533","male","scotland"
"1981",7,"32738","female","scotland"
"1981",8,"72378","total","scotland"
"1981",8,"37219","male","scotland"
"1981",8,"35159","female","scotland"
"1981",9,"77976","total","scotland"
"1981",9,"39689","male","scotland"
"1981",9,"38287","female","scotland"
"1981",10,"82869","total","scotland"
"1981",10,"42488","male","scotland"
"1981",10,"40381","female","scotland"
"1981",11,"83412","total","scotland"
"1981",11,"42650","male","scotland"
"1981",11,"40762","female","scotland"
"1981",12,"86712","total","scotland"
"1981",12,"44582","male","scotland"
"1981",12,"42130","female","scotland"
"1981",13,"89021","total","scotland"
"1981",13,"45545","male","scotland"
"1981",13,"43476","female","scotland"
"1981",14,"90698","total","scotland"
"1981",14,"46819","male","scotland"
"1981",14,"43879","female","scotland"
"1981",15,"90123","total","scotland"
"1981",15,"46229","male","scotland"
"1981",15,"43894","female","scotland"
"1981",16,"95046","total","scotland"
"1981",16,"48685","male","scotland"
"1981",16,"46361","female","scotland"
"1981",17,"93304","total","scotland"
"1981",17,"47385","male","scotland"
"1981",17,"45919","female","scotland"
"1981",18,"91049","total","scotland"
"1981",18,"46227","male","scotland"
"1981",18,"44822","female","scotland"
"1981",19,"89792","total","scotland"
"1981",19,"45619","male","scotland"
"1981",19,"44173","female","scotland"
"1981",20,"88089","total","scotland"
"1981",20,"44538","male","scotland"
"1981",20,"43551","female","scotland"
"1981",21,"85924","total","scotland"
"1981",21,"43882","male","scotland"
"1981",21,"42042","female","scotland"
"1981",22,"83708","total","scotland"
"1981",22,"42370","male","scotland"
"1981",22,"41338","female","scotland"
"1981",23,"80419","total","scotland"
"1981",23,"40591","male","scotland"
"1981",23,"39828","female","scotland"
"1981",24,"77292","total","scotland"
"1981",24,"39140","male","scotland"
"1981",24,"38152","female","scotland"
"1981",25,"75098","total","scotland"
"1981",25,"38160","male","scotland"
"1981",25,"36938","female","scotland"
"1981",26,"71809","total","scotland"
"1981",26,"36135","male","scotland"
"1981",26,"35674","female","scotland"
"1981",27,"71213","total","scotland"
"1981",27,"35827","male","scotland"
"1981",27,"35386","female","scotland"
"1981",28,"69830","total","scotland"
"1981",28,"35202","male","scotland"
"1981",28,"34628","female","scotland"
"1981",29,"67367","total","scotland"
"1981",29,"33821","male","scotland"
"1981",29,"33546","female","scotland"
"1981",30,"69188","total","scotland"
"1981",30,"34815","male","scotland"
"1981",30,"34373","female","scotland"
"1981",31,"69696","total","scotland"
"1981",31,"35130","male","scotland"
"1981",31,"34566","female","scotland"
"1981",32,"72145","total","scotland"
"1981",32,"36297","male","scotland"
"1981",32,"35848","female","scotland"
"1981",33,"75327","total","scotland"
"1981",33,"37814","male","scotland"
"1981",33,"37513","female","scotland"
"1981",34,"82045","total","scotland"
"1981",34,"41185","male","scotland"
"1981",34,"40860","female","scotland"
"1981",35,"63553","total","scotland"
"1981",35,"31863","male","scotland"
"1981",35,"31690","female","scotland"
"1981",36,"61031","total","scotland"
"1981",36,"30567","male","scotland"
"1981",36,"30464","female","scotland"
"1981",37,"63508","total","scotland"
"1981",37,"31809","male","scotland"
"1981",37,"31699","female","scotland"
"1981",38,"62713","total","scotland"
"1981",38,"31090","male","scotland"
"1981",38,"31623","female","scotland"
"1981",39,"59363","total","scotland"
"1981",39,"29290","male","scotland"
"1981",39,"30073","female","scotland"
"1981",40,"56522","total","scotland"
"1981",40,"27789","male","scotland"
"1981",40,"28733","female","scotland"
"1981",41,"59017","total","scotland"
"1981",41,"28926","male","scotland"
"1981",41,"30091","female","scotland"
"1981",42,"59183","total","scotland"
"1981",42,"29120","male","scotland"
"1981",42,"30063","female","scotland"
"1981",43,"59298","total","scotland"
"1981",43,"29259","male","scotland"
"1981",43,"30039","female","scotland"
"1981",44,"58722","total","scotland"
"1981",44,"28523","male","scotland"
"1981",44,"30199","female","scotland"
"1981",45,"58455","total","scotland"
"1981",45,"28503","male","scotland"
"1981",45,"29952","female","scotland"
"1981",46,"57950","total","scotland"
"1981",46,"28312","male","scotland"
"1981",46,"29638","female","scotland"
"1981",47,"57355","total","scotland"
"1981",47,"28173","male","scotland"
"1981",47,"29182","female","scotland"
"1981",48,"57279","total","scotland"
"1981",48,"27904","male","scotland"
"1981",48,"29375","female","scotland"
"1981",49,"59525","total","scotland"
"1981",49,"28817","male","scotland"
"1981",49,"30708","female","scotland"
"1981",50,"59467","total","scotland"
"1981",50,"28804","male","scotland"
"1981",50,"30663","female","scotland"
"1981",51,"59515","total","scotland"
"1981",51,"28552","male","scotland"
"1981",51,"30963","female","scotland"
"1981",52,"58999","total","scotland"
"1981",52,"28386","male","scotland"
"1981",52,"30613","female","scotland"
"1981",53,"58128","total","scotland"
"1981",53,"28082","male","scotland"
"1981",53,"30046","female","scotland"
"1981",54,"58560","total","scotland"
"1981",54,"28114","male","scotland"
"1981",54,"30446","female","scotland"
"1981",55,"59963","total","scotland"
"1981",55,"28780","male","scotland"
"1981",55,"31183","female","scotland"
"1981",56,"58221","total","scotland"
"1981",56,"27977","male","scotland"
"1981",56,"30244","female","scotland"
"1981",57,"58814","total","scotland"
"1981",57,"28060","male","scotland"
"1981",57,"30754","female","scotland"
"1981",58,"57429","total","scotland"
"1981",58,"27169","male","scotland"
"1981",58,"30260","female","scotland"
"1981",59,"60553","total","scotland"
"1981",59,"28581","male","scotland"
"1981",59,"31972","female","scotland"
"1981",60,"61311","total","scotland"
"1981",60,"28293","male","scotland"
"1981",60,"33018","female","scotland"
"1981",61,"64003","total","scotland"
"1981",61,"29191","male","scotland"
"1981",61,"34812","female","scotland"
"1981",62,"45418","total","scotland"
"1981",62,"20397","male","scotland"
"1981",62,"25021","female","scotland"
"1981",63,"43456","total","scotland"
"1981",63,"19464","male","scotland"
"1981",63,"23992","female","scotland"
"1981",64,"46233","total","scotland"
"1981",64,"20772","male","scotland"
"1981",64,"25461","female","scotland"
"1981",65,"48487","total","scotland"
"1981",65,"21449","male","scotland"
"1981",65,"27038","female","scotland"
"1981",66,"51641","total","scotland"
"1981",66,"22613","male","scotland"
"1981",66,"29028","female","scotland"
"1981",67,"51075","total","scotland"
"1981",67,"22174","male","scotland"
"1981",67,"28901","female","scotland"
"1981",68,"49422","total","scotland"
"1981",68,"21551","male","scotland"
"1981",68,"27871","female","scotland"
"1981",69,"47527","total","scotland"
"1981",69,"20436","male","scotland"
"1981",69,"27091","female","scotland"
"1981",70,"45879","total","scotland"
"1981",70,"19297","male","scotland"
"1981",70,"26582","female","scotland"
"1981",71,"44713","total","scotland"
"1981",71,"18446","male","scotland"
"1981",71,"26267","female","scotland"
"1981",72,"42957","total","scotland"
"1981",72,"17453","male","scotland"
"1981",72,"25504","female","scotland"
"1981",73,"40632","total","scotland"
"1981",73,"16190","male","scotland"
"1981",73,"24442","female","scotland"
"1981",74,"37213","total","scotland"
"1981",74,"14575","male","scotland"
"1981",74,"22638","female","scotland"
"1981",75,"35356","total","scotland"
"1981",75,"13257","male","scotland"
"1981",75,"22099","female","scotland"
"1981",76,"32585","total","scotland"
"1981",76,"11868","male","scotland"
"1981",76,"20717","female","scotland"
"1981",77,"29923","total","scotland"
"1981",77,"10509","male","scotland"
"1981",77,"19414","female","scotland"
"1981",78,"26976","total","scotland"
"1981",78,"9246","male","scotland"
"1981",78,"17730","female","scotland"
"1981",79,"24272","total","scotland"
"1981",79,"7975","male","scotland"
"1981",79,"16297","female","scotland"
"1981",80,"21877","total","scotland"
"1981",80,"6783","male","scotland"
"1981",80,"15094","female","scotland"
"1981",81,"19381","total","scotland"
"1981",81,"5731","male","scotland"
"1981",81,"13650","female","scotland"
"1981",82,"15848","total","scotland"
"1981",82,"4499","male","scotland"
"1981",82,"11349","female","scotland"
"1981",83,"13647","total","scotland"
"1981",83,"3633","male","scotland"
"1981",83,"10014","female","scotland"
"1981",84,"11778","total","scotland"
"1981",84,"3019","male","scotland"
"1981",84,"8759","female","scotland"
"1981",85,"10157","total","scotland"
"1981",85,"2471","male","scotland"
"1981",85,"7686","female","scotland"
"1981",86,"8229","total","scotland"
"1981",86,"2042","male","scotland"
"1981",86,"6187","female","scotland"
"1981",87,"6795","total","scotland"
"1981",87,"1639","male","scotland"
"1981",87,"5156","female","scotland"
"1981",88,"5579","total","scotland"
"1981",88,"1250","male","scotland"
"1981",88,"4329","female","scotland"
"1981",89,"4339","total","scotland"
"1981",89,"968","male","scotland"
"1981",89,"3371","female","scotland"
"1981",90,"13571","total","scotland"
"1981",90,"2712","male","scotland"
"1981",90,"10859","female","scotland"
"1982",0,"66594","total","scotland"
"1982",0,"34004","male","scotland"
"1982",0,"32590","female","scotland"
"1982",1,"68063","total","scotland"
"1982",1,"35011","male","scotland"
